Taxon,lfc,se,W,p_val,q_val,diff_abn
Sneathia vaginalis,6.1987,0.869,7.133,0.0,0.0,True
Fannyhessea vaginae,3.8363,0.9485,4.045,5.2e-05,0.001,True
Prevotella buccalis,3.7988,1.0082,3.768,0.000165,0.0021,True
Aerococcus christensenii,2.3851,0.8713,2.737,0.006193,0.0604,True
Gardnerella vaginalis,1.4737,0.7384,1.996,0.045966,0.1652,False
Metamycoplasma hominis,0.9842,0.4945,1.99,0.046575,0.1652,False
Parvimonas micra,0.9123,0.5801,1.573,0.115763,0.3225,False
Streptococcus thermophilus,1.0177,0.7438,1.368,0.171226,0.4174,False
Haemophilus parainfluenzae,0.6996,0.6039,1.158,0.246693,0.4811,False
Gardnerella leopoldii,0.2993,0.3649,0.82,0.412152,0.6753,False
Corynebacterium matruchotii,0.3413,0.4192,0.814,0.415548,0.6753,False
Lactobacillus iners,0.6231,0.8219,0.758,0.448406,0.698,False
Granulicatella adiacens,0.4137,0.6481,0.638,0.523215,0.7036,False
Anaerococcus prevotii,0.5302,0.9293,0.571,0.56832,0.7388,False
Cutibacterium granulosum,0.1861,0.4923,0.378,0.705474,0.8676,False
Lancefieldella parvula,0.126,0.3476,0.363,0.716902,0.8676,False
Anaerococcus mediterraneensis,0.2596,0.8367,0.31,0.756357,0.8676,False
Prevotella oris,0.0524,0.3936,0.133,0.894048,0.9511,False
Peptoniphilus harei,-0.0096,0.3387,-0.028,0.977353,0.9774,False
Lactobacillus delbrueckii,-0.0498,0.6893,-0.072,0.942459,0.9673,False
Lactococcus cremoris,-0.0737,0.6002,-0.123,0.90233,0.9511,False
Rothia mucilaginosa,-0.0606,0.4652,-0.13,0.896321,0.9511,False
Peptoniphilus sp. SAHP1,-0.2337,0.7184,-0.325,0.744922,0.8676,False
Lacticaseibacillus paracasei,-0.5151,0.7771,-0.663,0.507477,0.7036,False
Streptococcus sanguinis,-0.3416,0.501,-0.682,0.495364,0.7036,False
Staphylococcus aureus,-0.2943,0.4032,-0.73,0.465352,0.698,False
Gemella haemolysans,-0.7676,0.7597,-1.01,0.312334,0.5537,False
Acinetobacter ursingii,-0.6312,0.5888,-1.072,0.283686,0.5268,False
Cutibacterium modestum,-0.8391,0.7147,-1.174,0.240341,0.4811,False
Staphylococcus hominis,-1.0107,0.8099,-1.248,0.212079,0.4595,False
Lactobacillus gasseri,-0.259,0.2005,-1.292,0.196507,0.4508,False
Cutibacterium acnes,-1.2697,0.8684,-1.462,0.143689,0.3736,False
Ezakiella coagulans,-0.8694,0.4543,-1.914,0.055651,0.167,False
Moraxella osloensis,-2.0046,1.0265,-1.953,0.050826,0.1652,False
Escherichia coli,-1.4833,0.7556,-1.963,0.04963,0.1652,False
Lactobacillus jensenii,-2.3844,1.1116,-2.145,0.031951,0.1558,False
Corynebacterium sanguinis,-0.9641,0.4431,-2.176,0.029587,0.1558,False
Streptococcus salivarius,-0.9978,0.4518,-2.209,0.027207,0.1558,False
Lactobacillus crispatus,-2.6335,1.1275,-2.336,0.019507,0.1522,False
