Taxon,lfc,se,W,p_val,q_val,diff_abn
Lactobacillus crispatus,5.3357,1.3845,3.854,0.000116,0.0045,True
Sneathia vaginalis,3.946,1.233,3.2,0.001372,0.0268,True
Streptococcus thermophilus,1.8789,1.0982,1.711,0.087116,0.3501,False
Corynebacterium matruchotii,1.2569,0.7823,1.607,0.108124,0.3501,False
Lancefieldella parvula,1.1859,0.7383,1.606,0.108248,0.3501,False
Ezakiella coagulans,0.1026,0.0783,1.311,0.190001,0.3501,False
Metamycoplasma hominis,0.1026,0.0783,1.311,0.190001,0.3501,False
Parvimonas micra,0.1026,0.0783,1.311,0.190001,0.3501,False
Gardnerella leopoldii,0.1026,0.0783,1.311,0.190001,0.3501,False
Lactobacillus gasseri,0.1026,0.0783,1.311,0.190001,0.3501,False
Lactococcus cremoris,0.6218,0.4824,1.289,0.197476,0.3501,False
Cutibacterium granulosum,0.861,0.7305,1.179,0.238543,0.3876,False
Prevotella oris,1.0133,0.888,1.141,0.253849,0.396,False
Anaerococcus mediterraneensis,1.0179,1.2704,0.801,0.423001,0.611,False
Rothia mucilaginosa,0.4702,0.888,0.53,0.59643,0.7754,False
Granulicatella adiacens,0.5716,1.3216,0.433,0.665344,0.7863,False
Haemophilus parainfluenzae,0.2816,1.0781,0.261,0.793959,0.8601,False
Peptoniphilus sp. SAHP1,0.1767,1.4676,0.12,0.904157,0.953,False
Anaerococcus prevotii,0.1133,1.4207,0.08,0.936448,0.9586,False
Cutibacterium modestum,0.0573,1.1025,0.052,0.958574,0.9586,False
Lactobacillus jensenii,-0.5254,1.6751,-0.314,0.753805,0.84,False
Lactobacillus delbrueckii,-0.3823,1.1143,-0.343,0.73151,0.8391,False
Lacticaseibacillus paracasei,-0.6955,1.595,-0.436,0.662776,0.7863,False
Gemella haemolysans,-0.7061,1.4263,-0.495,0.620552,0.7807,False
Escherichia coli,-1.049,1.4552,-0.721,0.471009,0.6334,False
Peptoniphilus harei,-0.444,0.5914,-0.751,0.452862,0.6308,False
Staphylococcus aureus,-0.5519,0.6803,-0.811,0.41722,0.611,False
Prevotella buccalis,-1.8869,1.5348,-1.229,0.218905,0.3712,False
Streptococcus sanguinis,-1.0959,0.8489,-1.291,0.196721,0.3501,False
Corynebacterium sanguinis,-1.0104,0.7706,-1.311,0.189805,0.3501,False
Aerococcus christensenii,-1.3913,1.0568,-1.317,0.187987,0.3501,False
Acinetobacter ursingii,-1.5664,1.1634,-1.346,0.178173,0.3501,False
Cutibacterium acnes,-1.8219,1.3201,-1.38,0.16756,0.3501,False
Streptococcus salivarius,-1.8012,1.0419,-1.729,0.083857,0.3501,False
Lactobacillus iners,-2.0261,1.1016,-1.839,0.065886,0.3501,False
Gardnerella vaginalis,-2.0924,1.0237,-2.044,0.040952,0.2662,False
Staphylococcus hominis,-2.9291,1.3206,-2.218,0.026548,0.2071,False
Fannyhessea vaginae,-2.486,1.1052,-2.249,0.024492,0.2071,False
Moraxella osloensis,-4.2442,1.5214,-2.79,0.005275,0.0686,True
