Taxon,lfc,se,W,p_val,q_val,diff_abn
Fannyhessea vaginae,9.0763,0.7886,11.51,0.0,0.0,True
Prevotella buccalis,8.3732,1.1515,7.272,0.0,0.0,True
Aerococcus christensenii,7.5496,1.2504,6.038,0.0,0.0,True
Gardnerella vaginalis,5.9238,1.0103,5.863,0.0,0.0,True
Sneathia vaginalis,6.9065,1.5267,4.524,6e-06,0.0,True
Metamycoplasma hominis,2.545,1.167,2.181,0.029195,0.0813,True
Lactobacillus iners,2.67,1.3769,1.939,0.052475,0.1279,False
Haemophilus parainfluenzae,1.1031,0.8245,1.338,0.180898,0.3684,False
Anaerococcus prevotii,1.2923,1.315,0.983,0.325717,0.4886,False
Lactobacillus delbrueckii,1.0748,1.2,0.896,0.370405,0.5144,False
Acinetobacter ursingii,0.7049,0.8071,0.873,0.382476,0.5144,False
Streptococcus thermophilus,0.9275,1.164,0.797,0.425581,0.5518,False
Corynebacterium matruchotii,0.3927,0.5071,0.774,0.43864,0.5518,False
Granulicatella adiacens,0.2591,0.9962,0.26,0.794776,0.7948,False
Staphylococcus hominis,-0.2804,1.0339,-0.271,0.786212,0.7948,False
Streptococcus sanguinis,-0.2716,0.7965,-0.341,0.73308,0.7727,False
Lacticaseibacillus paracasei,-0.4012,1.1179,-0.359,0.719679,0.7727,False
Cutibacterium granulosum,-0.2646,0.6569,-0.403,0.687037,0.7656,False
Peptoniphilus sp. SAHP1,-0.3723,0.8889,-0.419,0.675367,0.7656,False
Moraxella osloensis,-0.7505,1.5111,-0.497,0.619434,0.7321,False
Anaerococcus mediterraneensis,-0.5479,0.9994,-0.548,0.583534,0.7112,False
Cutibacterium acnes,-1.2563,1.3181,-0.953,0.340552,0.4919,False
Ezakiella coagulans,-0.7207,0.6137,-1.174,0.240231,0.3748,False
Gemella haemolysans,-0.6963,0.576,-1.209,0.226729,0.3684,False
Parvimonas micra,-0.5991,0.4924,-1.217,0.22373,0.3684,False
Streptococcus salivarius,-0.6344,0.5175,-1.226,0.220264,0.3684,False
Corynebacterium sanguinis,-0.6313,0.5145,-1.227,0.219768,0.3684,False
Lactobacillus gasseri,-0.6173,0.5005,-1.233,0.217424,0.3684,False
Cutibacterium modestum,-1.3288,0.8261,-1.609,0.107716,0.2334,False
Rothia mucilaginosa,-1.0005,0.6035,-1.658,0.097324,0.2233,False
Lactococcus cremoris,-1.8216,0.9144,-1.992,0.046351,0.1205,False
Peptoniphilus harei,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Lancefieldella parvula,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Escherichia coli,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Gardnerella leopoldii,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Staphylococcus aureus,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Prevotella oris,-0.1081,0.0411,-2.631,0.008521,0.0256,True
Lactobacillus jensenii,-7.0024,1.3424,-5.216,0.0,0.0,True
Lactobacillus crispatus,-8.3861,1.2569,-6.672,0.0,0.0,True
