taxon,prev_vagina,prev_endometrium,decontam_score,celvia_status,known_frt_biology
Granulicatella adiacens,0.0,0.4444444444444444,0.9999977500050625,RETAINED,False
Streptococcus thermophilus,0.0,0.4444444444444444,0.9999977500050625,RETAINED,False
Cutibacterium modestum,0.0,0.2222222222222222,0.99999550002025,RETAINED,False
Kocuria palustris,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Lactobacillus delbrueckii,0.0,0.2222222222222222,0.99999550002025,RETAINED,False
Lawsonella clevelandensis,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Capnocytophaga gingivalis,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Leptolyngbya boryana,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Leptolyngbya sp. NIES-3755,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Methylophilus medardicus,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Nosocomiicoccus ampullae,0.0,0.2222222222222222,0.99999550002025,REMOVED,False
Chitinophaga sp. HK235,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Corynebacterium timonense,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Bacillus badius,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Anaerococcus obesiensis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Haemophilus parahaemolyticus,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Gemella haemolysans,0.0,0.1111111111111111,0.9999910000809993,RETAINED,False
Haemophilus parainfluenzae,0.0,0.1111111111111111,0.9999910000809993,RETAINED,False
Haematobacter massiliensis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Flavisolibacter ginsenosidimutans,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Hymenobacter oligotrophus,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Oceanobacillus oncorhynchi,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Phocaeicola vulgatus,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Moraxella catarrhalis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Megasphaera elsdenii,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Enterococcus cecorum,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Corynebacterium doosanense,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Campylobacter ureolyticus,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Catenibacterium mitsuokai,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Aquirufa nivalisilvae,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Anaerostipes hadrus,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Ligilactobacillus ruminis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Porphyromonas sp. oral taxon 275,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Prevotella histicola,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Methylobacterium tardum,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Peptoniphilus ivorii,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Paracoccus kondratievae,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Rothia dentocariosa,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Prevotella melaninogenica,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Ureaplasma parvum,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Thermoactinomyces vulgaris,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Veillonella atypica,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Yoonia vestfoldensis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Prevotella veroralis,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Richelia sinica,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Pseudoclavibacter sp. Marseille-Q3772,0.0,0.1111111111111111,0.9999910000809993,REMOVED,False
Rothia mucilaginosa,0.0,0.1111111111111111,0.9999910000809993,RETAINED,False
Moraxella osloensis,0.2222222222222222,0.5555555555555556,0.7142847959195481,RETAINED,False
Hydrogenophilus thermoluteolus,0.2222222222222222,0.4444444444444444,0.6666656666681666,REMOVED,False
Elizabethkingia anophelis,0.1111111111111111,0.2222222222222222,0.6666646666726667,REMOVED,False
Mycoplasma wenyonii,0.1111111111111111,0.2222222222222222,0.6666646666726667,REMOVED,False
Weissella hellenica,0.1111111111111111,0.2222222222222222,0.6666646666726667,REMOVED,False
Flavobacterium indicum,0.1111111111111111,0.2222222222222222,0.6666646666726667,REMOVED,False
Lactococcus cremoris,0.1111111111111111,0.2222222222222222,0.6666646666726667,RETAINED,False
Cutibacterium acnes,0.5555555555555556,0.6666666666666666,0.5454540991739188,RETAINED,False
Lactobacillus iners,1.0,1.0,0.499999750000125,RETAINED,True
Lactobacillus crispatus,0.7777777777777778,0.7777777777777778,0.49999967857163524,RETAINED,True
Prevotella buccalis,0.3333333333333333,0.3333333333333333,0.499999250001125,RETAINED,True
Sneathia vaginalis,0.2222222222222222,0.2222222222222222,0.49999887500253126,RETAINED,True
Anaerococcus mediterraneensis,0.2222222222222222,0.2222222222222222,0.49999887500253126,RETAINED,False
Aerococcus christensenii,0.2222222222222222,0.2222222222222222,0.49999887500253126,RETAINED,True
Anaerococcus prevotii,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,True
Acinetobacter johnsonii,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Staphylococcus saccharolyticus,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Prevotella denticola,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Schlegelella aquatica,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Staphylococcus hominis,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,False
Mageeibacillus indolicus,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Parvimonas micra,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,True
Peptoniphilus sp. SAHP1,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,False
Bacillus velezensis,0.1111111111111111,0.1111111111111111,0.499997750010125,REMOVED,False
Lactobacillus gasseri,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,True
Acinetobacter ursingii,0.1111111111111111,0.1111111111111111,0.499997750010125,RETAINED,False
Lactobacillus jensenii,0.5555555555555556,0.4444444444444444,0.4444440000004445,RETAINED,True
Gardnerella vaginalis,0.3333333333333333,0.2222222222222222,0.3999992800012959,RETAINED,True
Fannyhessea vaginae,0.4444444444444444,0.2222222222222222,0.3333328333340833,RETAINED,True
Lactobacillus paragasseri,0.4444444444444444,0.2222222222222222,0.3333328333340833,REMOVED,False
Lacticaseibacillus paracasei,0.5555555555555556,0.2222222222222222,0.28571391836781923,RETAINED,False
Enterococcus faecalis,0.6666666666666666,0.2222222222222222,0.2499997187503164,REMOVED,False
Lactobacillus johnsonii,0.6666666666666666,0.2222222222222222,0.2499997187503164,REMOVED,False
Lactobacillus helveticus,0.4444444444444444,0.1111111111111111,0.19999964000064796,REMOVED,False
Lactobacillus kefiranofaciens,0.4444444444444444,0.1111111111111111,0.19999964000064796,REMOVED,False
Abiotrophia defectiva,0.0,0.0,0.0,REMOVED,False
Campylobacter hominis,0.0,0.0,0.0,REMOVED,False
Bulleidia sp. zg-1006,0.0,0.0,0.0,REMOVED,False
Acinetobacter colistiniresistens,0.1111111111111111,0.0,0.0,REMOVED,False
Gemella morbillorum,0.0,0.0,0.0,REMOVED,False
Gardnerella leopoldii,0.1111111111111111,0.0,0.0,RETAINED,True
Fenollaria sporofastidiosus,0.0,0.0,0.0,REMOVED,False
Blautia wexlerae,0.1111111111111111,0.0,0.0,REMOVED,False
Cardiobacterium hominis,0.0,0.0,0.0,REMOVED,False
Corynebacterium glucuronolyticum,0.0,0.0,0.0,REMOVED,False
Clostridium perfringens,0.0,0.0,0.0,REMOVED,False
Escherichia coli,0.1111111111111111,0.0,0.0,RETAINED,False
Ezakiella coagulans,0.0,0.0,0.0,RETAINED,False
Klebsiella quasipneumoniae,0.1111111111111111,0.0,0.0,REMOVED,False
Kinneretia sp. XES5,0.1111111111111111,0.0,0.0,REMOVED,False
Lactobacillus acidophilus,0.4444444444444444,0.0,0.0,REMOVED,False
Lactobacillus amylolyticus,0.2222222222222222,0.0,0.0,REMOVED,False
Fastidiosipila sanguinis,0.0,0.0,0.0,REMOVED,False
Fusobacterium nucleatum,0.0,0.0,0.0,REMOVED,False
Fenollaria massiliensis,0.0,0.0,0.0,REMOVED,False
Limosilactobacillus fermentum,0.2222222222222222,0.0,0.0,REMOVED,False
Leptotrichia trevisanii,0.0,0.0,0.0,REMOVED,False
Leptotrichia sp. oral taxon 221,0.0,0.0,0.0,REMOVED,False
Leptotrichia sp. oral taxon 212,0.0,0.0,0.0,REMOVED,False
Levilactobacillus brevis,0.1111111111111111,0.0,0.0,REMOVED,False
Metamycoplasma hominis,0.1111111111111111,0.0,0.0,RETAINED,True
Ligilactobacillus salivarius,0.1111111111111111,0.0,0.0,REMOVED,False
Limosilactobacillus vaginalis,0.2222222222222222,0.0,0.0,REMOVED,False
Leptotrichia hofstadii,0.1111111111111111,0.0,0.0,REMOVED,False
Peptoniphilus harei,0.1111111111111111,0.0,0.0,RETAINED,True
Miniphocaeibacter halophilus,0.0,0.0,0.0,REMOVED,False
Mobiluncus curtisii,0.0,0.0,0.0,REMOVED,False
Neisseria subflava,0.0,0.0,0.0,REMOVED,False
Porphyromonas somerae,0.0,0.0,0.0,REMOVED,False
Prevotella oris,0.0,0.0,0.0,RETAINED,True
Porphyromonas asaccharolytica,0.0,0.0,0.0,REMOVED,False
Prevotella enoeca,0.0,0.0,0.0,REMOVED,False
Schaalia radingae,0.0,0.0,0.0,REMOVED,False
Streptococcus sanguinis,0.0,0.0,0.0,RETAINED,False
Streptococcus cristatus,0.0,0.0,0.0,REMOVED,False
Streptobacillus moniliformis,0.0,0.0,0.0,REMOVED,False
Staphylococcus pasteuri,0.0,0.0,0.0,REMOVED,False
Streptococcus pyogenes,0.3333333333333333,0.0,0.0,REMOVED,False
Weissella viridescens,0.0,0.0,0.0,REMOVED,False
Xanthomonas campestris,0.0,0.0,0.0,REMOVED,False
