Location,Taxon,IsContaminant,IgA_mean_pct,IgA_SD,IgM_mean_pct,IgM_SD,PreSorted_mean_pct,IgA_minus_IgM_pct,Enrichment,n_IgA,n_IgM,n_PreSorted
CERVIX,Sneathia vaginalis,False,22.7112,26.6746,0.0288,0.0863,2.1524,22.6824,IgA,9,9,8
CERVIX,Lactobacillus iners,False,49.067,36.5824,38.9937,32.4525,8.7487,10.0733,IgA,9,9,8
CERVIX,Parvimonas micra,False,8.7427,12.2198,0.0,0.0,1.9259,8.7427,IgA,9,9,8
CERVIX,Prevotella buccalis,False,3.7097,5.4641,0.0628,0.1884,3.6965,3.6469,IgA,9,9,8
CERVIX,Fannyhessea vaginae,False,2.5541,2.5095,0.4966,1.4899,0.512,2.0575,IgA,9,9,8
CERVIX,Anaerococcus prevotii,False,2.129,3.5003,1.2625,2.3702,31.3318,0.8666,IgA,9,9,8
CERVIX,Peptoniphilus harei,False,0.4352,1.3056,0.0,0.0,0.0,0.4352,IgA,9,9,8
CERVIX,Lactobacillus jensenii,False,0.4036,0.7545,0.0,0.0,0.0203,0.4036,IgA,9,9,8
CERVIX,Cutibacterium granulosum,False,0.4476,1.3428,0.0935,0.2806,0.307,0.3541,IgA,9,9,8
CERVIX,Lactococcus cremoris,False,0.4616,0.8061,0.131,0.3931,0.0,0.3306,IgA,9,9,8
CERVIX,Haemophilus parainfluenzae,False,0.147,0.3168,0.0103,0.031,2.5192,0.1366,IgA,9,9,8
CERVIX,Streptococcus sanguinis,False,0.1321,0.3964,0.0,0.0,0.0,0.1321,IgA,9,9,8
CERVIX,Rothia mucilaginosa,False,0.1162,0.3485,0.0,0.0,0.0,0.1162,IgA,9,9,8
CERVIX,Staphylococcus aureus,False,0.1797,0.5392,0.0658,0.1975,0.0,0.1139,IgA,9,9,8
CERVIX,Granulicatella adiacens,False,0.0149,0.0446,0.0,0.0,0.0821,0.0149,IgA,9,9,8
CERVIX,Aerococcus christensenii,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,9,9,8
CERVIX,Gardnerella vaginalis,False,0.0,0.0,0.0,0.0,0.2153,0.0,IgA,9,9,8
CERVIX,Lacticaseibacillus paracasei,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,9,9,8
CERVIX,Lactobacillus gasseri,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,9,9,8
CERVIX,Metamycoplasma hominis,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,9,9,8
CERVIX,Streptococcus salivarius,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,9,9,8
CERVIX,Lancefieldella parvula,False,0.0,0.0,0.0433,0.1298,0.4012,-0.0433,IgM,9,9,8
CERVIX,Lactobacillus delbrueckii,False,0.0074,0.0222,0.051,0.1015,0.0,-0.0436,IgM,9,9,8
CERVIX,Gardnerella leopoldii,False,0.1032,0.1654,0.1546,0.4639,1.0571,-0.0514,IgM,9,9,8
CERVIX,Prevotella oris,False,0.0,0.0,0.064,0.1919,5.9791,-0.064,IgM,9,9,8
CERVIX,Streptococcus thermophilus,False,0.4297,0.9503,0.5463,1.5835,1.8968,-0.1166,IgM,9,9,8
CERVIX,Acinetobacter ursingii,False,0.0,0.0,0.1842,0.5526,0.0,-0.1842,IgM,9,9,8
CERVIX,Corynebacterium matruchotii,False,0.0,0.0,0.1876,0.5628,0.0,-0.1876,IgM,9,9,8
CERVIX,Corynebacterium sanguinis,False,0.0,0.0,0.7304,2.1913,0.0,-0.7304,IgM,9,9,8
CERVIX,Peptoniphilus sp. SAHP1,False,0.0857,0.2572,0.8251,2.4752,9.0054,-0.7393,IgM,9,9,8
CERVIX,Staphylococcus hominis,False,0.4427,0.6336,1.4277,4.1966,0.0,-0.985,IgM,9,9,8
CERVIX,Cutibacterium modestum,False,0.4445,1.1942,1.8146,3.5858,0.0,-1.3701,IgM,9,9,8
CERVIX,Gemella haemolysans,False,0.1789,0.4376,1.8541,4.5093,4.8698,-1.6752,IgM,9,9,8
CERVIX,Ezakiella coagulans,False,0.0,0.0,3.841,11.1364,8.3179,-3.841,IgM,9,9,8
CERVIX,Anaerococcus mediterraneensis,False,0.667,0.7589,4.8865,13.2959,9.6414,-4.2195,IgM,9,9,8
CERVIX,Moraxella osloensis,False,2.2642,2.9424,8.1141,12.6194,3.3184,-5.8499,IgM,9,9,8
CERVIX,Cutibacterium acnes,False,4.0196,6.1927,11.0743,14.0212,1.5591,-7.0547,IgM,9,9,8
CERVIX,Lactobacillus crispatus,False,0.1055,0.2811,8.5984,11.5598,1.0939,-8.4928,IgM,9,9,8
CERVIX,Escherichia coli,False,0.0,0.0,14.4579,28.7247,1.3487,-14.4579,IgM,9,9,8
CERVIX,Mageibacillus indolicus,True,0.3,0.0,60.3,0.0,6.0,-60.0,IgM (CONTAMINANT),9,9,8
ENDOMETRIUM,Lactobacillus crispatus,False,13.4471,18.2628,0.0299,0.0508,1.2289,13.4172,IgA,14,15,14
ENDOMETRIUM,Anaerococcus prevotii,False,2.932,10.665,0.0199,0.0615,0.0663,2.912,IgA,14,15,14
ENDOMETRIUM,Sneathia vaginalis,False,1.7259,3.9425,0.0,0.0,4.1299,1.7259,IgA,14,15,14
ENDOMETRIUM,Prevotella oris,False,1.2969,4.8524,0.0,0.0,0.1324,1.2969,IgA,14,15,14
ENDOMETRIUM,Granulicatella adiacens,False,1.7757,6.5293,0.7273,2.7745,1.3142,1.0484,IgA,14,15,14
ENDOMETRIUM,Cutibacterium granulosum,False,0.8402,3.1437,0.0,0.0,0.3963,0.8402,IgA,14,15,14
ENDOMETRIUM,Anaerococcus mediterraneensis,False,0.6647,2.2044,0.0125,0.0451,0.0,0.6522,IgA,14,15,14
ENDOMETRIUM,Corynebacterium matruchotii,False,0.3325,1.2417,0.0,0.0,0.0,0.3325,IgA,14,15,14
ENDOMETRIUM,Gemella haemolysans,False,0.4339,1.5485,0.149,0.4595,0.6029,0.2849,IgA,14,15,14
ENDOMETRIUM,Streptococcus thermophilus,False,0.2877,0.698,0.005,0.0192,2.4416,0.2828,IgA,14,15,14
ENDOMETRIUM,Haemophilus parainfluenzae,False,0.2396,0.8159,0.0078,0.0267,2.5359,0.2318,IgA,14,15,14
ENDOMETRIUM,Lacticaseibacillus paracasei,False,0.0856,0.1994,0.0373,0.0525,0.0,0.0483,IgA,14,15,14
ENDOMETRIUM,Lancefieldella parvula,False,0.0434,0.1602,0.0,0.0,0.0,0.0434,IgA,14,15,14
ENDOMETRIUM,Lactobacillus delbrueckii,False,0.0299,0.0904,0.0103,0.0223,2.0206,0.0196,IgA,14,15,14
ENDOMETRIUM,Lactococcus cremoris,False,0.0025,0.0093,0.0,0.0,0.6074,0.0025,IgA,14,15,14
ENDOMETRIUM,Ezakiella coagulans,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,14,15,14
ENDOMETRIUM,Gardnerella leopoldii,False,0.0,0.0,0.0,0.0,0.1646,0.0,IgA,14,15,14
ENDOMETRIUM,Lactobacillus gasseri,False,0.0,0.0,0.0,0.0,0.0,0.0,IgA,14,15,14
ENDOMETRIUM,Metamycoplasma hominis,False,0.0,0.0,0.0,0.0,0.3562,0.0,IgA,14,15,14
ENDOMETRIUM,Parvimonas micra,False,0.0,0.0,0.0,0.0,19.1734,0.0,IgA,14,15,14
ENDOMETRIUM,Rothia mucilaginosa,False,0.0181,0.0624,0.0195,0.0756,0.0052,-0.0014,IgM,14,15,14
ENDOMETRIUM,Staphylococcus aureus,False,0.0,0.0,0.0342,0.1323,0.4421,-0.0342,IgM,14,15,14
ENDOMETRIUM,Corynebacterium sanguinis,False,0.0,0.0,0.0565,0.207,0.0,-0.0565,IgM,14,15,14
ENDOMETRIUM,Streptococcus sanguinis,False,0.0,0.0,0.0609,0.2276,1.4426,-0.0609,IgM,14,15,14
