Species,104_CERVIX_A,90_CERVIX_A,93_CERVIX_A,94_CERVIX_A,95_CERVIX_A,96_CERVIX_A,97_CERVIX_A,98_CERVIX_A,99_CERVIX_A,104_CERVIX_G,90_CERVIX_G,93_CERVIX_G,94_CERVIX_G,95_CERVIX_G,97_CERVIX_G,98_CERVIX_G,99_CERVIX_G,104_CERVIX_M,90_CERVIX_M,93_CERVIX_M,94_CERVIX_M,95_CERVIX_M,96_CERVIX_M,97_CERVIX_M,98_CERVIX_M,99_CERVIX_M,104_CERVIX_PRE,93_CERVIX_PRE,94_CERVIX_PRE,95_CERVIX_PRE,96_CERVIX_PRE,97_CERVIX_PRE,98_CERVIX_PRE,99_CERVIX_PRE,104_ENDOMETRIUM_A,77_ENDOMETRIUM_A,78_ENDOMETRIUM_A,79_ENDOMETRIUM_A,81_ENDOMETRIUM_A,90_ENDOMETRIUM_A,91_ENDOMETRIUM_A,93_ENDOMETRIUM_A,94_ENDOMETRIUM_A,95_ENDOMETRIUM_A,96_ENDOMETRIUM_A,98_ENDOMETRIUM_A,99_ENDOMETRIUM_A,992_ENDOMETRIUM_A,104_ENDOMETRIUM_G,77_ENDOMETRIUM_G,78_ENDOMETRIUM_G,79_ENDOMETRIUM_G,80_ENDOMETRIUM_G,81_ENDOMETRIUM_G,90_ENDOMETRIUM_G,91_ENDOMETRIUM_G,93_ENDOMETRIUM_G,94_ENDOMETRIUM_G,97_ENDOMETRIUM_G,99_ENDOMETRIUM_G,992_ENDOMETRIUM_G,104_ENDOMETRIUM_M,77_ENDOMETRIUM_M,78_ENDOMETRIUM_M,79_ENDOMETRIUM_M,80_ENDOMETRIUM_M,81_ENDOMETRIUM_M,90_ENDOMETRIUM_M,91_ENDOMETRIUM_M,93_ENDOMETRIUM_M,94_ENDOMETRIUM_M,95_ENDOMETRIUM_M,97_ENDOMETRIUM_M,98_ENDOMETRIUM_M,99_ENDOMETRIUM_M,992_ENDOMETRIUM_M,104_VAGINA_A,77_VAGINA_A,78_VAGINA_A,79_VAGINA_A,80_VAGINA_A,81_VAGINA_A,90_VAGINA_A,91_VAGINA_A,93_VAGINA_A,94_VAGINA_A,95_VAGINA_A,96_VAGINA_A,97_VAGINA_A,98_VAGINA_A,99_VAGINA_A,104_VAGINA_G,77_VAGINA_G,78_VAGINA_G,79_VAGINA_G,80_VAGINA_G,81_VAGINA_G,90_VAGINA_G,91_VAGINA_G,93_VAGINA_G,94_VAGINA_G,95_VAGINA_G,97_VAGINA_G,98_VAGINA_G,99_VAGINA_G,104_VAGINA_M,77_VAGINA_M,78_VAGINA_M,79_VAGINA_M,80_VAGINA_M,81_VAGINA_M,90_VAGINA_M,91_VAGINA_M,93_VAGINA_M,94_VAGINA_M,95_VAGINA_M,96_VAGINA_M,97_VAGINA_M,98_VAGINA_M,99_VAGINA_M,104_VAGINA_PRE,77_VAGINA_PRE,78_VAGINA_PRE,79_VAGINA_PRE,80_VAGINA_PRE,81_VAGINA_PRE,90_VAGINA_PRE,91_VAGINA_PRE,93_VAGINA_PRE,94_VAGINA_PRE,95_VAGINA_PRE,96_VAGINA_PRE,97_VAGINA_PRE,98_VAGINA_PRE,99_VAGINA_PRE,77_ENDOMETRIUM_PRE,78_ENDOMETRIUM_PRE,79_ENDOMETRIUM_PRE,80_ENDOMETRIUM_PRE,81_ENDOMETRIUM_PRE,90_ENDOMETRIUM_PRE,91_ENDOMETRIUM_PRE,93_ENDOMETRIUM_PRE,94_ENDOMETRIUM_PRE,96_ENDOMETRIUM_PRE,97_ENDOMETRIUM_PRE,98_ENDOMETRIUM_PRE,99_ENDOMETRIUM_PRE,992_ENDOMETRIUM_PRE
Acinetobacter ursingii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16543,80183,0,0,0,0,0,0,98250,0,0,0,0,189673,0,0,0,0,0,0,0,98844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus christensenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65454,20584,0,0,0,7630,1716,16248,16484,4579,53433,0,9078,81712,0,0,172093,7684,44543,0,43707,22461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27397,36477,0,0,0,0,0,0,4919,46035,0,0,38375,15213
Anaerococcus mediterraneensis,0,4766,1380,918,0,0,0,2575,2856,3785,899,0,749,0,0,14018,26575,849,0,0,3892,4344,0,0,0,29770,0,9972,0,59896,52031,59413,29588,74776,78690,850,0,0,0,0,0,0,0,0,0,1985,0,0,0,1567,0,0,0,0,0,0,0,0,2557,0,0,0,0,4276,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12380,0,0,0,0,0,0,0,13283,1830,0,0,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,3228,10628,0,0,0,0,16121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus prevotii,0,23913,3341,1826,0,0,0,11057,793,9975,3053,0,198,0,0,26149,0,3069,2072,0,1142,11420,0,0,0,5352,0,21833,0,197289,236555,228597,90140,293181,379435,3354,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,2241,0,0,0,5793,101,0,376,1697,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,40685,17818,0,0,0,0,869,0,53044,8119,0,0,0,0,255,0,0,0,575,0,0,0,0,0,0,0,0,0,5603,341,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,299,0,0,0,0,0,3008,0,3250,0,0,0,0,0,0,0,4457,0,0,0,2540
Corynebacterium matruchotii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14778,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium sanguinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,0,3656,0,2726,0,0,0,0,2982,0,0,0,0,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium acnes,5521,2007,546,0,7304,31774,6542,447,36739,598,0,3509,26878,21557,3595,7525,4632,6091,0,36759,17184,11381,0,135439,13536,7933,3901,2816,5373,744,0,2227,1065,0,0,44234,31361,8166,280,1045,3349,0,0,3624,592,3496,1167,0,10418,2545,112,2181,4287,3430,4249,1584,4513,3172,3861,0,574,138791,5522,18393,148,2787,7548,7833,816,434,13495,3069,105,0,17089,1188,255,0,2254,58,0,1646,482,206,0,0,5139,1432,0,55,327,896,0,2425,0,1706,0,7514,7932,0,0,796,0,3364,0,377,0,4072,0,1043,347,1525,6433,0,0,3148,11147,366,414,382,0,0,0,2286,2311,0,2908,17438,282,15539,2339,4925,332,0,15411,2091,0,10300,22585,10450,11842,2625,1426,391,685,13077,17657,664,0
Cutibacterium granulosum,0,0,0,0,0,0,0,0,8315,0,0,0,0,0,0,0,0,3889,0,0,0,0,0,0,0,0,0,0,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,0,0,0,17333,1605,0,0,0,0,0,0,0,0
Cutibacterium modestum,0,961,0,0,10686,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,10759,42604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3641,0,0,0,0,0,0,0,0,675,0,3408,0,1638,0,0,0,0,0,0,2598,4923,0,0,0,9201,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14117,0,0,1586,0,0,0,0,0,0,1214,7763,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0
Escherichia coli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81994,169868,598960,28130,0,0,0,0,0,0,0,0,0,0,0,0,0,81182,0,0,0,0,0,0,0,0,0,9091,0,0,0,0,0,0,0,0,0,0,0,507715,636537,0,0,0,0,0,0,622021,0,0,0,0,467271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
