Patient,Sheet,Frozen,Organ,Fraction,Taxon,Pct
HUT94,HUT94,False,Cervix,IgA,Sneathia vaginalis,41.14
HUT94,HUT94,False,Cervix,IgA,Lactobacillus iners,16.07
HUT94,HUT94,False,Cervix,IgA,Aerococcus christensenii,15.78
HUT94,HUT94,False,Cervix,IgA,Prevotella buccalis,9.89
HUT94,HUT94,False,Cervix,IgA,Metamycoplasma hominis,5.6
HUT94,HUT94,False,Cervix,IgA,Fannyhessea vaginae,5.2
HUT94,HUT94,False,Cervix,IgA,Lactobacillus jensenii,3.52
HUT94,HUT94,False,Cervix,IgA,Gardnerella vaginalis,2.06
HUT94,HUT94,False,Cervix,IgA,Cutibacterium acnes,0.49
HUT94,HUT94,False,Cervix,IgA,Streptococcus thermophilus,0.25
HUT94,HUT94,False,Cervix,IgG,Lactobacillus iners,89.91
HUT94,HUT94,False,Cervix,IgG,Staphylococcus hominis,4.69
HUT94,HUT94,False,Cervix,IgG,Cutibacterium acnes,3.58
HUT94,HUT94,False,Cervix,IgG,Fannyhessea vaginae,1.15
HUT94,HUT94,False,Cervix,IgG,Sneathia vaginalis,0.66
HUT94,HUT94,False,Cervix,IgG,no contaminants,
HUT94,HUT94,False,Cervix,IgM,Sneathia vaginalis,67.12
HUT94,HUT94,False,Cervix,IgM,Fannyhessea vaginae,9.74
HUT94,HUT94,False,Cervix,IgM,Lactobacillus iners,6.92
HUT94,HUT94,False,Cervix,IgM,Anaerococcus prevotii,6.41
HUT94,HUT94,False,Cervix,IgM,Prevotella buccalis,3.65
HUT94,HUT94,False,Cervix,IgM,Anaerococcus mediterraneensis,1.95
HUT94,HUT94,False,Cervix,IgM,Metamycoplasma hominis,1.57
HUT94,HUT94,False,Cervix,IgM,Aerococcus christensenii,1.43
HUT94,HUT94,False,Cervix,IgM,Gardnerella vaginalis,0.62
HUT94,HUT94,False,Cervix,IgM,Staphylococcus hominis,0.19
HUT94,HUT94,False,Cervix,IgM,Acinetobacter junii,0.19
HUT94,HUT94,False,Cervix,IgM,Moraxella bovis,0.15
HUT94,HUT94,False,Cervix,IgM,Cutibacterium acnes,0.03
HUT94,HUT94,False,Cervix,IgM,Rothia kristinae,0.02
HUT94,HUT94,False,Cervix,PreSort,Sneathia vaginalis,66.59
HUT94,HUT94,False,Cervix,PreSort,Lactobacillus iners,8.47
HUT94,HUT94,False,Cervix,PreSort,Aerococcus christensenii,7.31
HUT94,HUT94,False,Cervix,PreSort,Prevotella buccalis,6.9
HUT94,HUT94,False,Cervix,PreSort,Fannyhessea vaginae,6.43
HUT94,HUT94,False,Cervix,PreSort,Anaerococcus prevotii,1.59
HUT94,HUT94,False,Cervix,PreSort,Gardnerella vaginalis,1.4
HUT94,HUT94,False,Cervix,PreSort,Metamycoplasma hominis,1.29
HUT94,HUT94,False,Cervix,PreSort,Cardiobacterium hominis,0.02
HUT94,HUT94,False,Cervix,PreSort,Moraxella osloensis,0.01
HUT94,HUT94,False,Endometrium,IgA,Lactobacillus delbrueckii,99.16
HUT94,HUT94,False,Endometrium,IgA,Fannyhessea vaginae,0.59
HUT94,HUT94,False,Endometrium,IgA,Sneathia vaginalis,0.24
HUT94,HUT94,False,Endometrium,IgG,Lactobacillus iners,72.63
HUT94,HUT94,False,Endometrium,IgG,Granulicatella adiacens,10.39
HUT94,HUT94,False,Endometrium,IgG,Cutibacterium acnes,9.67
HUT94,HUT94,False,Endometrium,IgG,Streptococcus pneumoniae,5.78
HUT94,HUT94,False,Endometrium,IgG,Streptococcus sanguinis,1.25
HUT94,HUT94,False,Endometrium,IgG,Sneathia vaginalis,0.28
HUT94,HUT94,False,Endometrium,IgM,Aerococcus christensenii,40.15
HUT94,HUT94,False,Endometrium,IgM,Lactobacillus iners,39.47
HUT94,HUT94,False,Endometrium,IgM,Sneathia vaginalis,12.79
HUT94,HUT94,False,Endometrium,IgM,Fannyhessea vaginae,6.21
HUT94,HUT94,False,Endometrium,IgM,Prevotella melaninogenica,0.49
HUT94,HUT94,False,Endometrium,IgM,Prevotella buccalis,0.35
HUT94,HUT94,False,Endometrium,IgM,Cutibacterium acnes,0.33
HUT94,HUT94,False,Endometrium,IgM,Corynebacterium matruchotii,0.21
HUT94,HUT94,False,Endometrium,PreSort,Lactobacillus iners,61.28
HUT94,HUT94,False,Endometrium,PreSort,Sneathia vaginalis,26.05
HUT94,HUT94,False,Endometrium,PreSort,Fannyhessea vaginae,4.66
HUT94,HUT94,False,Endometrium,PreSort,Prevotella buccalis,3.55
HUT94,HUT94,False,Endometrium,PreSort,Gardnerella vaginalis,1.37
HUT94,HUT94,False,Endometrium,PreSort,Aerococcus christensenii,1.36
HUT94,HUT94,False,Endometrium,PreSort,Prevotella denticola,1.03
HUT94,HUT94,False,Endometrium,PreSort,Moraxella osloensis,0.38
HUT94,HUT94,False,Endometrium,PreSort,Moraxella catarrhalis,0.13
HUT94,HUT94,False,Endometrium,PreSort,Prevotella veroralis,0.12
HUT94,HUT94,False,Endometrium,PreSort,Capnocytophaga gingivalis,0.02
HUT94,HUT94,False,Endometrium,PreSort,Ureaplasma parvum,0.02
HUT94,HUT94,False,Endometrium,PreSort,Corynebacterium timonense,0.01
HUT94,HUT94,False,Vagina,IgA,Lactobacillus iners,53.49
HUT94,HUT94,False,Vagina,IgA,Sneathia vaginalis,32.85
HUT94,HUT94,False,Vagina,IgA,Prevotella buccalis,5.29
HUT94,HUT94,False,Vagina,IgA,Aerococcus christensenii,4.53
HUT94,HUT94,False,Vagina,IgA,Fannyhessea vaginae,2.7
HUT94,HUT94,False,Vagina,IgA,Gardnerella vaginalis,0.6
HUT94,HUT94,False,Vagina,IgA,Metamycoplasma hominis,0.45
HUT94,HUT94,False,Vagina,IgA,Anaerococcus prevotii,0.09
HUT94,HUT94,False,Vagina,IgA,Cutibacterium acnes,0.01
HUT94,HUT94,False,Vagina,IgG,Lactobacillus iners,80.79
HUT94,HUT94,False,Vagina,IgG,Sneathia vaginalis,9.7
HUT94,HUT94,False,Vagina,IgG,Prevotella denticola,4.76
HUT94,HUT94,False,Vagina,IgG,Fannyhessea vaginae,2.56
HUT94,HUT94,False,Vagina,IgG,Prevotella buccalis,1.48
HUT94,HUT94,False,Vagina,IgG,Prevotella veroralis,0.34
HUT94,HUT94,False,Vagina,IgG,Gardnerella vaginalis,0.26
HUT94,HUT94,False,Vagina,IgG,Cutibacterium acnes,0.09
HUT94,HUT94,False,Vagina,IgM,Sneathia vaginalis,55.5
HUT94,HUT94,False,Vagina,IgM,Lactobacillus iners,13.07
HUT94,HUT94,False,Vagina,IgM,Fannyhessea vaginae,8.84
HUT94,HUT94,False,Vagina,IgM,Anaerococcus prevotii,7.33
HUT94,HUT94,False,Vagina,IgM,Aerococcus christensenii,6.04
HUT94,HUT94,False,Vagina,IgM,Metamycoplasma hominis,3.42
HUT94,HUT94,False,Vagina,IgM,Prevotella buccalis,2.21
HUT94,HUT94,False,Vagina,IgM,Anaerococcus mediterraneensis,1.84
HUT94,HUT94,False,Vagina,IgM,Gardnerella vaginalis,0.68
HUT94,HUT94,False,Vagina,IgM,Prevotella denticola,0.41
