Organ,Fraction,Storage,Taxon,MeanAbundance_pct
Vagina,IgA,Fresh,Lactobacillus iners,35.412
Vagina,IgA,Fresh,Lactobacillus jensenii,22.422
Vagina,IgA,Fresh,Lactobacillus crispatus,39.99
Vagina,IgA,Fresh,Sneathia vaginalis,32.85
Vagina,IgA,Fresh,Lactobacillus gasseri,51.88
Vagina,IgA,Fresh,Lactobacillus delbrueckii,0.315
Vagina,IgA,Fresh,Prevotella buccalis,2.853
Vagina,IgA,Fresh,Cutibacterium acnes,1.242
Vagina,IgA,Frozen,Lactobacillus iners,57.613
Vagina,IgA,Frozen,Lactobacillus jensenii,1.383
Vagina,IgA,Frozen,Lactobacillus crispatus,23.962
Vagina,IgA,Frozen,Sneathia vaginalis,0.01
Vagina,IgA,Frozen,Lactobacillus gasseri,0.0
Vagina,IgA,Frozen,Lactobacillus delbrueckii,0.08
Vagina,IgA,Frozen,Prevotella buccalis,0.0
Vagina,IgA,Frozen,Cutibacterium acnes,7.797
Vagina,IgM,Fresh,Lactobacillus iners,51.013
Vagina,IgM,Fresh,Lactobacillus jensenii,47.55
Vagina,IgM,Fresh,Lactobacillus crispatus,2.63
Vagina,IgM,Fresh,Sneathia vaginalis,55.5
Vagina,IgM,Fresh,Lactobacillus gasseri,32.1
Vagina,IgM,Fresh,Lactobacillus delbrueckii,0.27
Vagina,IgM,Fresh,Prevotella buccalis,1.715
Vagina,IgM,Fresh,Cutibacterium acnes,1.413
Vagina,IgM,Frozen,Lactobacillus iners,52.433
Vagina,IgM,Frozen,Lactobacillus jensenii,4.94
Vagina,IgM,Frozen,Lactobacillus crispatus,20.657
Vagina,IgM,Frozen,Sneathia vaginalis,0.34
Vagina,IgM,Frozen,Lactobacillus gasseri,0.0
Vagina,IgM,Frozen,Lactobacillus delbrueckii,0.25
Vagina,IgM,Frozen,Prevotella buccalis,0.0
Vagina,IgM,Frozen,Cutibacterium acnes,1.945
Vagina,PreSort,Fresh,Lactobacillus iners,26.448
Vagina,PreSort,Fresh,Lactobacillus jensenii,49.605
Vagina,PreSort,Fresh,Lactobacillus crispatus,30.36
Vagina,PreSort,Fresh,Sneathia vaginalis,57.23
Vagina,PreSort,Fresh,Lactobacillus gasseri,88.88
Vagina,PreSort,Fresh,Lactobacillus delbrueckii,0.0
Vagina,PreSort,Fresh,Prevotella buccalis,4.32
Vagina,PreSort,Fresh,Cutibacterium acnes,0.04
Vagina,PreSort,Frozen,Lactobacillus iners,56.858
Vagina,PreSort,Frozen,Lactobacillus jensenii,0.903
Vagina,PreSort,Frozen,Lactobacillus crispatus,16.262
Vagina,PreSort,Frozen,Sneathia vaginalis,16.4
Vagina,PreSort,Frozen,Lactobacillus gasseri,0.0
Vagina,PreSort,Frozen,Lactobacillus delbrueckii,0.0
Vagina,PreSort,Frozen,Prevotella buccalis,11.19
Vagina,PreSort,Frozen,Cutibacterium acnes,0.63
Cervix,IgA,Fresh,Lactobacillus iners,62.269
Cervix,IgA,Fresh,Sneathia vaginalis,41.14
Cervix,IgA,Fresh,Anaerococcus prevotii,0.78
Cervix,IgA,Fresh,Cutibacterium acnes,0.98
Cervix,IgA,Fresh,Ezakiella coagulans,22.93
Cervix,IgA,Fresh,Escherichia coli,0.0
Cervix,IgA,Fresh,Anaerococcus mediterraneensis,0.22
Cervix,IgA,Fresh,Moraxella osloensis,5.088
Cervix,IgA,Frozen,Lactobacillus iners,67.79
Cervix,IgA,Frozen,Sneathia vaginalis,7.3
Cervix,IgA,Frozen,Anaerococcus prevotii,0.0
Cervix,IgA,Frozen,Cutibacterium acnes,1.71
Cervix,IgA,Frozen,Ezakiella coagulans,0.0
Cervix,IgA,Frozen,Escherichia coli,0.0
Cervix,IgA,Frozen,Anaerococcus mediterraneensis,0.0
Cervix,IgA,Frozen,Moraxella osloensis,8.9
Cervix,IgM,Fresh,Lactobacillus iners,59.04
Cervix,IgM,Fresh,Sneathia vaginalis,35.795
Cervix,IgM,Fresh,Anaerococcus prevotii,6.41
Cervix,IgM,Fresh,Cutibacterium acnes,0.889
Cervix,IgM,Fresh,Ezakiella coagulans,0.0
Cervix,IgM,Fresh,Escherichia coli,0.0
Cervix,IgM,Fresh,Anaerococcus mediterraneensis,1.95
Cervix,IgM,Fresh,Moraxella osloensis,0.21
Cervix,IgM,Frozen,Lactobacillus iners,2.74
Cervix,IgM,Frozen,Sneathia vaginalis,59.26
Cervix,IgM,Frozen,Anaerococcus prevotii,1.75
Cervix,IgM,Frozen,Cutibacterium acnes,0.29
Cervix,IgM,Frozen,Ezakiella coagulans,0.0
Cervix,IgM,Frozen,Escherichia coli,0.0
Cervix,IgM,Frozen,Anaerococcus mediterraneensis,0.72
Cervix,IgM,Frozen,Moraxella osloensis,0.6
Cervix,PreSort,Fresh,Lactobacillus iners,27.459
Cervix,PreSort,Fresh,Sneathia vaginalis,25.023
Cervix,PreSort,Fresh,Anaerococcus prevotii,0.887
Cervix,PreSort,Fresh,Cutibacterium acnes,0.06
