Taxon,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Acinetobacter ursingii,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,ursingii
Aerococcus christensenii,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,christensenii
Anaerococcus mediterraneensis,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,mediterraneensis
Anaerococcus prevotii,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,prevotii
Burkholderia cepacia,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia
Corynebacterium matruchotii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,matruchotii
Corynebacterium sanguinis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,sanguinis
Cutibacterium acnes,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes
Cutibacterium granulosum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,granulosum
Cutibacterium modestum,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,modestum
Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli
Ezakiella coagulans,Bacteria,Bacillati,Bacillota,Tissierellia,NA,NA,Ezakiella,coagulans
Fannyhessea vaginae,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Fannyhessea,vaginae
Gardnerella leopoldii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,leopoldii
Gardnerella vaginalis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,vaginalis
Gemella haemolysans,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,haemolysans
Granulicatella adiacens,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,adiacens
Haemophilus parainfluenzae,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae
Lacticaseibacillus paracasei,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,paracasei
Lactobacillus crispatus,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,crispatus
